train_ratio,approach,train_events,test_events,train_cases,test_cases,accuracy,macro_f1,weighted_f1,n_samples,feature_columns
0.6,Probability,730044,472223,18905,12604,0.5442616602011666,0.43708668723136723,0.5423845314315255,459619,"case:ApplicationType, case:LoanGoal, case:RequestedAmount, CreditScore, EventOrigin, org:resource"
0.6,AttributeBased,730044,472223,18905,12604,0.5279002826253919,0.4322638943361837,0.5343737917855798,459619,"case:ApplicationType, case:LoanGoal, case:RequestedAmount, CreditScore, EventOrigin, org:resource"
0.6,AttributeSampling,730044,472223,18905,12604,0.5293232003028595,0.45425278185852674,0.5351880246251102,459619,"case:ApplicationType, case:LoanGoal, case:RequestedAmount, CreditScore, EventOrigin, org:resource"
0.6,PredictiveML,730044,472223,18905,12604,1.0,1.0,1.0,17610,"case:ApplicationType, case:LoanGoal, case:RequestedAmount, CreditScore, EventOrigin, org:resource"
0.7,Probability,845508,356759,22056,9453,0.5427058559310809,0.4358885380316178,0.5415414534631772,347306,"case:ApplicationType, case:LoanGoal, case:RequestedAmount, CreditScore, EventOrigin, org:resource"
0.7,AttributeBased,845508,356759,22056,9453,0.5265644705245518,0.43227042234752966,0.5334016832116131,347306,"case:ApplicationType, case:LoanGoal, case:RequestedAmount, CreditScore, EventOrigin, org:resource"
0.7,AttributeSampling,845508,356759,22056,9453,0.5274541758564494,0.4302094877996439,0.5346122518307654,347306,"case:ApplicationType, case:LoanGoal, case:RequestedAmount, CreditScore, EventOrigin, org:resource"
0.7,PredictiveML,845508,356759,22056,9453,1.0,1.0,1.0,13160,"case:ApplicationType, case:LoanGoal, case:RequestedAmount, CreditScore, EventOrigin, org:resource"
0.8,Probability,961208,241059,25207,6302,0.5411553223120077,0.4334461567989253,0.5403621214610987,234757,"case:ApplicationType, case:LoanGoal, case:RequestedAmount, CreditScore, EventOrigin, org:resource"
0.8,AttributeBased,961208,241059,25207,6302,0.52540712311028,0.449869694746716,0.5334054254493614,234757,"case:ApplicationType, case:LoanGoal, case:RequestedAmount, CreditScore, EventOrigin, org:resource"
0.8,AttributeSampling,961208,241059,25207,6302,0.5255008370357434,0.4495836544696233,0.5333808828136739,234757,"case:ApplicationType, case:LoanGoal, case:RequestedAmount, CreditScore, EventOrigin, org:resource"
0.8,PredictiveML,961208,241059,25207,6302,1.0,1.0,1.0,8784,"case:ApplicationType, case:LoanGoal, case:RequestedAmount, CreditScore, EventOrigin, org:resource"
