comparison,metric,paired_seed_count,mean_difference,median_difference,std_difference,mean_percent_difference,median_percent_difference
ParkSong-Composite - RoundRobin,cycle_time_mean_s,5,12268.732678992092,18454.97093431576,70015.81225933389,28.786722158642682,25.105298926698122
ParkSong-Composite - RoundRobin,waiting_time_mean_s,5,2337.9746801874653,2467.703922588018,1336.168828703795,135.42412454049438,135.1554818241557
ParkSong-Composite - RoundRobin,throughput_cases_per_hour,5,0.0,0.0,0.0,0.0,0.0
ParkSong-Composite - RoundRobin,resource_occupation_mean,5,3.088868446206013e-05,0.0006242219333164002,0.0012012768229832849,17.4184760071976,38.156356481702616
ParkSong-Composite - RoundRobin,resource_fairness_gini,5,-0.013505372649600078,0.006649220414809531,0.08791168717264923,-0.4173659706306928,1.3063825742377848
ParkSong-Composite - RoundRobin,weighted_resource_fairness,5,-0.00040765010073607976,0.0010618038179130997,0.003425777853598211,12.354989236868015,27.715277977921186
ParkSong-Composite - ShortestQueue,cycle_time_mean_s,5,39376.42431667632,34019.288552736805,40918.75207640802,57.26728778094372,58.708662200476894
ParkSong-Composite - ShortestQueue,waiting_time_mean_s,5,2385.5264885900515,2625.6803262746544,1355.4923819210085,142.12753560341045,157.429083406701
ParkSong-Composite - ShortestQueue,throughput_cases_per_hour,5,0.00013661202185792087,0.0,0.0003054737674179982,0.2666666666666616,0.0
ParkSong-Composite - ShortestQueue,resource_occupation_mean,5,0.0007155183501593201,0.0006929906115664003,0.0001457811264056137,50.83525724843942,44.050922281606326
ParkSong-Composite - ShortestQueue,resource_fairness_gini,5,0.058177463059476575,0.0524111525754164,0.046325303239927965,12.943505497855057,9.91647005965162
ParkSong-Composite - ShortestQueue,weighted_resource_fairness,5,0.0016799161501908403,0.0017185332370539,0.00017810284221412493,51.90427195469812,53.00977125877592
