candidate_id,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,class_weight,criterion
rf_00,100,8.0,2,2,sqrt,balanced,gini
rf_01,200,8.0,1,2,sqrt,balanced_subsample,gini
rf_02,200,8.0,1,2,log2,balanced_subsample,gini
rf_03,200,8.0,1,2,0.5,balanced_subsample,gini
rf_04,200,8.0,2,2,sqrt,balanced_subsample,gini
rf_05,200,8.0,2,2,log2,balanced_subsample,gini
rf_06,200,8.0,2,2,0.5,balanced_subsample,gini
rf_07,200,8.0,5,5,sqrt,balanced_subsample,gini
rf_08,200,8.0,5,5,log2,balanced_subsample,gini
rf_09,200,8.0,5,5,0.5,balanced_subsample,gini
rf_10,200,12.0,1,2,sqrt,balanced_subsample,gini
rf_11,200,12.0,1,2,log2,balanced_subsample,gini
rf_12,200,12.0,1,2,0.5,balanced_subsample,gini
rf_13,200,12.0,2,2,sqrt,balanced_subsample,gini
rf_14,200,12.0,2,2,log2,balanced_subsample,gini
rf_15,200,12.0,2,2,0.5,balanced_subsample,gini
rf_16,200,12.0,5,5,sqrt,balanced_subsample,gini
rf_17,200,12.0,5,5,log2,balanced_subsample,gini
rf_18,200,12.0,5,5,0.5,balanced_subsample,gini
rf_19,200,16.0,1,2,sqrt,balanced_subsample,gini
rf_20,200,16.0,1,2,log2,balanced_subsample,gini
rf_21,200,16.0,1,2,0.5,balanced_subsample,gini
rf_22,200,16.0,2,2,sqrt,balanced_subsample,gini
rf_23,200,16.0,2,2,log2,balanced_subsample,gini
rf_24,200,16.0,2,2,0.5,balanced_subsample,gini
rf_25,200,16.0,5,5,sqrt,balanced_subsample,gini
rf_26,200,16.0,5,5,log2,balanced_subsample,gini
rf_27,200,16.0,5,5,0.5,balanced_subsample,gini
rf_28,200,,1,2,sqrt,balanced_subsample,gini
rf_29,200,,1,2,log2,balanced_subsample,gini
