candidate_id,seed,phase,accuracy,macro_f1,weighted_f1,raw_accuracy,log_loss,brier,top2_accuracy,fallback_rate,raw_top_class_rejected_by_bpmn,inference_runtime_seconds,artifact_size_estimate_bytes,n_samples,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,class_weight,criterion
rf_27,1,phase_a,0.9401524418932907,0.8414434910003582,0.9429205528541588,0.9401524418932907,0.14907809682965098,0.09600213143667778,1.0,0.0,0,0.07610654199925193,29769446,10627,200,16.0,5,5,0.5,balanced_subsample,gini
rf_18,1,phase_a,0.910040462971676,0.8391063901103398,0.9252626118085537,0.910040462971676,0.1717223827969923,0.11641093108472549,1.0,0.0,0,0.07458558300095319,12723770,10627,200,12.0,5,5,0.5,balanced_subsample,gini
rf_12,1,phase_a,0.9180389573727299,0.83882421694386,0.9302582857076576,0.9180389573727299,0.16519606318947974,0.11187045457861551,1.0,0.0,0,0.07662366700060375,13069631,10627,200,12.0,1,2,0.5,balanced_subsample,gini
rf_15,1,phase_a,0.9174743577679496,0.8383220268511969,0.929856002813397,0.9174743577679496,0.16747575814920107,0.11299384810608755,1.0,0.0,0,0.0768266670002049,12714644,10627,200,12.0,2,2,0.5,balanced_subsample,gini
rf_22,1,phase_a,0.9153100592829585,0.8380964889874192,0.9285058709374688,0.9153100592829585,0.17734153336704905,0.1135936225176654,1.0,0.0,0,0.07676262499990116,22814239,10627,200,16.0,2,2,sqrt,balanced_subsample,gini
rf_24,1,phase_a,0.9501270349110755,0.8362606847157182,0.9469867454836558,0.9501270349110755,0.13905346172388408,0.08811051265613,1.0,0.0,0,0.07628583299992897,36804242,10627,200,16.0,2,2,0.5,balanced_subsample,gini
rf_19,1,phase_a,0.9278253505222547,0.8359419451284875,0.9355098653917259,0.9278253505222547,0.1676139380318922,0.1067943222002282,1.0,0.0,0,0.07477120799921977,29312506,10627,200,16.0,1,2,sqrt,balanced_subsample,gini
rf_20,1,phase_a,0.9086289639597253,0.8329121628778258,0.9237447116247589,0.9086289639597253,0.21860770043337882,0.12623259599624861,1.0,0.0,0,0.0763110419993609,25750840,10627,200,16.0,1,2,log2,balanced_subsample,gini
rf_21,1,phase_a,0.9520090335936765,0.8318980824933689,0.9471180767781997,0.9520090335936765,0.13416371831088228,0.0847683536677011,1.0,0.0,0,0.07425920800051244,40265621,10627,200,16.0,1,2,0.5,balanced_subsample,gini
rf_23,1,phase_a,0.8995012703491108,0.8312896448487016,0.9175080347340316,0.8995012703491108,0.23216075673632883,0.13403217605982862,1.0,0.0,0,0.07629283300047973,19193293,10627,200,16.0,2,2,log2,balanced_subsample,gini
rf_25,1,phase_a,0.8888679777924156,0.8256417152096325,0.9094954315406263,0.8888679777924156,0.19441667982902133,0.12706031561943001,1.0,0.0,0,0.07522483300090244,14233798,10627,200,16.0,5,5,sqrt,balanced_subsample,gini
rf_06,1,phase_a,0.8720240895831373,0.815745820487724,0.8958736110560199,0.8720240895831373,0.19753099210791847,0.14055561165762054,1.0,0.0,0,0.07632387499870674,2477195,10627,200,8.0,2,2,0.5,balanced_subsample,gini
rf_03,1,phase_a,0.8706125905711866,0.8149850149846202,0.8946728106520847,0.8706125905711866,0.19537300516145478,0.13983574856972394,1.0,0.0,0,0.07622545800040825,2525675,10627,200,8.0,1,2,0.5,balanced_subsample,gini
rf_09,1,phase_a,0.8698597910981463,0.8144055449974696,0.8940402112336481,0.8698597910981463,0.19854488774137782,0.14119962682913106,1.0,0.0,0,0.07653270800074097,2950049,10627,200,8.0,5,5,0.5,balanced_subsample,gini
rf_10,1,phase_a,0.863460995577303,0.8100235711567126,0.8885431748364585,0.863460995577303,0.21211020196400943,0.13773400695860724,1.0,0.0,0,0.07378504200096359,10551091,10627,200,12.0,1,2,sqrt,balanced_subsample,gini
rf_13,1,phase_a,0.8560271007810295,0.8054167102927908,0.8818769902994027,0.8560271007810295,0.21378702160053192,0.13921683651839595,1.0,0.0,0,0.07649629099978483,8715550,10627,200,12.0,2,2,sqrt,balanced_subsample,gini
rf_26,1,phase_a,0.8513221040745271,0.8011697864926889,0.87776516654824,0.8513221040745271,0.25918341044284904,0.1482476988621364,1.0,0.0,0,0.07655270899886091,11413717,10627,200,16.0,5,5,log2,balanced_subsample,gini
rf_28,1,phase_a,0.9545497318151878,0.7916402753961848,0.940925353259799,0.9545497318151878,0.11399274569624564,0.07102311398704507,1.0,0.0,0,0.07582229199942958,187991668,10627,200,,1,2,sqrt,balanced_subsample,gini
rf_29,1,phase_a,0.9540792321445375,0.7898410543867156,0.9403420923611348,0.9540792321445375,0.11513259259052185,0.07162929615618423,1.0,0.0,0,0.09949858300024061,196761268,10627,200,,1,2,log2,balanced_subsample,gini
rf_16,1,phase_a,0.8322198174461278,0.788049875758325,0.8592785862566221,0.8322198174461278,0.22646467477266966,0.14709185907312602,1.0,0.0,0,0.07680279200030782,6632527,10627,200,12.0,5,5,sqrt,balanced_subsample,gini
rf_11,1,phase_a,0.8296791192246166,0.7862974924588441,0.8566564483604191,0.8296791192246166,0.31030694666509945,0.16973720536267417,1.0,0.0,0,0.07256229199992958,10617385,10627,200,12.0,1,2,log2,balanced_subsample,gini
rf_14,1,phase_a,0.8293027194880963,0.7860033469625481,0.8562788632374684,0.8293027194880963,0.3236742980411602,0.1717992394978734,1.0,0.0,0,0.07472133300143469,8121922,10627,200,12.0,2,2,log2,balanced_subsample,gini
rf_17,1,phase_a,0.8216806248235626,0.7806991707806752,0.8481226528503647,0.8216806248235626,0.332371721052643,0.1791109260858782,1.0,0.0,0,0.07416670899874589,6000700,10627,200,12.0,5,5,log2,balanced_subsample,gini
rf_00,1,phase_a,0.8179166274583608,0.7779488952234516,0.8439909442161861,0.8179166274583608,0.28815956496736184,0.1754804273729424,1.0,0.0,0,0.05034341700047662,1373630,10627,100,8.0,2,2,sqrt,balanced,gini
rf_01,1,phase_a,0.8179166274583608,0.7779488952234516,0.8439909442161861,0.8179166274583608,0.2913430668512176,0.17445787406238136,1.0,0.0,0,0.08628945900090912,2975893,10627,200,8.0,1,2,sqrt,balanced_subsample,gini
rf_02,1,phase_a,0.8179166274583608,0.7779488952234516,0.8439909442161861,0.8179166274583608,0.47651146834427743,0.23026362692207905,1.0,0.0,0,0.07606654099981824,3341695,10627,200,8.0,1,2,log2,balanced_subsample,gini
rf_04,1,phase_a,0.8179166274583608,0.7779488952234516,0.8439909442161861,0.8179166274583608,0.2908821865567551,0.17426521178870508,1.0,0.0,0,0.07581833399854077,2740900,10627,200,8.0,2,2,sqrt,balanced_subsample,gini
rf_07,1,phase_a,0.8179166274583608,0.7779488952234516,0.8439909442161861,0.8179166274583608,0.3014950400226827,0.17748032071023936,1.0,0.0,0,0.0759277920005843,2362615,10627,200,8.0,5,5,sqrt,balanced_subsample,gini
rf_08,1,phase_a,0.8140585301590288,0.7739772707688563,0.8380613699604366,0.8140585301590288,0.4927253555113397,0.2399739541923776,1.0,0.0,0,0.07634300000063377,2393575,10627,200,8.0,5,5,log2,balanced_subsample,gini
rf_05,1,phase_a,0.8113296320692576,0.7711570456897278,0.8338402234109439,0.8113296320692576,0.48329046378838286,0.23472510315898698,1.0,0.0,0,0.07640604199877998,2864041,10627,200,8.0,2,2,log2,balanced_subsample,gini
