strategy,seed,exact_resource_activity_model_calls,activity_level_fallback_calls,category_fallback_calls,global_fallback_calls,emergency_guard_calls,total_processing_time_sampling_calls,exact_resource_activity_model_rate,activity_level_fallback_rate,global_fallback_rate
RoundRobin,1,1,0,0,262,0,263,0.0038022813688212928,0.0,0.9961977186311787
RoundRobin,2,1,0,0,331,0,332,0.0030120481927710845,0.0,0.9969879518072289
RoundRobin,3,0,1,0,271,0,272,0.0,0.003676470588235294,0.9963235294117647
ShortestQueue,1,1,0,0,257,0,258,0.003875968992248062,0.0,0.9961240310077519
ShortestQueue,2,2,0,0,329,0,331,0.006042296072507553,0.0,0.9939577039274925
ShortestQueue,3,0,2,0,272,0,274,0.0,0.0072992700729927005,0.9927007299270073
ParkSong-Composite,1,0,0,0,261,0,261,0.0,0.0,1.0
ParkSong-Composite,2,0,0,0,330,0,330,0.0,0.0,1.0
ParkSong-Composite,3,0,0,0,270,0,270,0.0,0.0,1.0
Kunkler-Rinderle-Ma,1,4,0,0,265,0,269,0.01486988847583643,0.0,0.9851301115241635
Kunkler-Rinderle-Ma,2,3,0,0,336,0,339,0.008849557522123894,0.0,0.9911504424778761
Kunkler-Rinderle-Ma,3,2,1,0,273,0,276,0.007246376811594203,0.0036231884057971015,0.9891304347826086
Batch,1,3,0,0,264,0,267,0.011235955056179775,0.0,0.9887640449438202
Batch,2,2,0,0,335,0,337,0.005934718100890208,0.0,0.9940652818991098
Batch,3,1,0,0,272,0,273,0.003663003663003663,0.0,0.9963369963369964
