mode,method,strategy,seed,cases_admitted,cases_completed,cases_incomplete,completion_rate,final_marking_rate,cases_deadlocked,cases_cyclic,cases_censored,n_events,cycle_time_mean_s,cycle_time_median_s,waiting_time_mean_s,processing_time_mean_s,exact_transition_fires,legacy_label_fires,ambiguous_legacy_label_rejections,branch_invalid_predictions_rejected,branch_predictions,resource_overlap_violations,permission_violations,reservation_decisions,reservations_created,resources_allocated,resources_released,simulation_runtime_seconds,event_log_path
generative,R-RRA / RoundRobin,round_robin,1,33,22,11,0.6666666666666666,0.6666666666666666,0,0,11,930,15734.236698939394,14441.213,6422.9747903571415,796.6743194748359,457,0,0,0,435,0,0,0,0,459,457,0.29,joao/results/final_all_methods_20260715/generative/smoke/round_robin_seed1_event_log.csv
generative,R-SHQ / ShortestQueue,shortest_queue,1,33,28,5,0.8484848484848485,0.8484848484848485,0,0,5,1029,15804.384491757577,13730.524104,1733.4629142222223,839.5766640471513,509,0,0,0,481,0,0,0,0,511,509,0.273,joao/results/final_all_methods_20260715/generative/smoke/shortest_queue_seed1_event_log.csv
generative,ParkSong-Composite,parksong_composite,1,33,23,10,0.696969696969697,0.696969696969697,0,0,10,1051,13736.842657242421,10670.975104,234.76817305625,767.0966216216217,444,0,0,0,421,0,0,374,374,447,444,0.391,joao/results/final_all_methods_20260715/generative/smoke/parksong_composite_seed1_event_log.csv
generative,Kunkler,kunkler,1,33,25,8,0.7575757575757576,0.7575757575757576,0,0,8,1021,14290.442814454545,11133.06,804.9327877,787.0302673267328,505,0,0,0,480,0,0,0,0,506,505,0.284,joao/results/final_all_methods_20260715/generative/smoke/kunkler_seed1_event_log.csv
generative,Batch Allocation,batch,1,33,27,6,0.8181818181818182,0.8181818181818182,0,0,6,893,13336.37152512121,11098.28274,1659.8595921111112,760.1686063348416,442,0,0,0,415,0,0,0,0,442,442,0.245,joao/results/final_all_methods_20260715/generative/smoke/batch_seed1_event_log.csv
generative,R-RRA / RoundRobin,round_robin,2,39,33,6,0.8461538461538461,0.8461538461538461,0,0,6,1077,12461.047502564103,10139.843,1231.4587999999999,795.6959569288389,534,0,0,0,501,0,0,0,0,536,534,0.267,joao/results/final_all_methods_20260715/generative/smoke/round_robin_seed2_event_log.csv
generative,R-SHQ / ShortestQueue,shortest_queue,2,39,30,9,0.7692307692307693,0.7692307692307693,0,0,9,1100,13633.348429538459,12248.463036,2339.8126965714287,803.5465147601476,542,0,0,0,512,0,0,0,0,544,542,0.333,joao/results/final_all_methods_20260715/generative/smoke/shortest_queue_seed2_event_log.csv
generative,ParkSong-Composite,parksong_composite,2,39,31,8,0.7948717948717948,0.7948717948717948,0,0,8,1267,15308.382215820513,13125.69726,413.8816836098901,824.6089463955637,541,0,0,0,510,0,0,556,556,544,541,0.37,joao/results/final_all_methods_20260715/generative/smoke/parksong_composite_seed2_event_log.csv
generative,Kunkler,kunkler,2,39,31,8,0.7948717948717948,0.7948717948717948,0,0,8,1025,13945.902447615386,14155.165,7100.6526739411765,773.8394841269841,504,0,0,0,473,0,0,0,0,504,504,0.333,joao/results/final_all_methods_20260715/generative/smoke/kunkler_seed2_event_log.csv
generative,Batch Allocation,batch,2,39,30,9,0.7692307692307693,0.7692307692307693,0,0,9,1180,14475.466037384616,12330.641803,1690.2995638666666,821.6810361445782,581,0,0,0,551,0,0,0,0,584,581,0.33,joao/results/final_all_methods_20260715/generative/smoke/batch_seed2_event_log.csv
generative,R-RRA / RoundRobin,round_robin,3,40,33,7,0.825,0.825,0,0,7,1142,12183.758686575,10642.931499999999,314.52873150000005,772.5584035087719,570,0,0,0,537,0,0,0,0,570,570,0.259,joao/results/final_all_methods_20260715/generative/smoke/round_robin_seed3_event_log.csv
generative,R-SHQ / ShortestQueue,shortest_queue,3,40,33,7,0.825,0.825,0,0,7,1164,14790.603073725,12639.944295500001,3547.651232294118,752.493982547993,573,0,0,0,540,0,0,0,0,574,573,0.39,joao/results/final_all_methods_20260715/generative/smoke/shortest_queue_seed3_event_log.csv
generative,ParkSong-Composite,parksong_composite,3,40,36,4,0.9,0.9,0,0,4,1449,15403.179577375,15133.8200795,303.1367620898437,781.6798187919462,596,0,0,0,560,0,0,456,456,597,596,0.878,joao/results/final_all_methods_20260715/generative/smoke/parksong_composite_seed3_event_log.csv
generative,Kunkler,kunkler,3,40,36,4,0.9,0.9,0,0,4,1231,14271.3947008,10128.4849995,964.4506032000002,785.8627573770492,610,0,0,0,574,0,0,0,0,611,610,0.318,joao/results/final_all_methods_20260715/generative/smoke/kunkler_seed3_event_log.csv
generative,Batch Allocation,batch,3,40,34,6,0.85,0.85,0,0,6,1124,13455.204480199998,12033.834816,2179.1006313846156,739.8538216216217,555,0,0,0,521,0,0,0,0,556,555,0.344,joao/results/final_all_methods_20260715/generative/smoke/batch_seed3_event_log.csv
